case,split,tau,ssa,hg_g,sun_zenith_deg,view_zenith_deg,relative_azimuth_deg,surface_albedo_for_delta_join,samples,seed,max_scatters,batch_samples,cuda_backend,cuda_device,cuda_directional_brf,cuda_standard_error_brf,cuda_ci95_low_brf,cuda_ci95_high_brf,cuda_ci95_halfwidth_brf,cuda_truncated_paths,cuda_truncated_fraction,analytic_hg_single_directional_brf,cuda_directional_higher_brf,legacy_hg_proxy_directional_brf_octave1,legacy_hg_proxy_directional_brf_octave6,legacy_hg_proxy_directional_higher_brf,effective_alpha_unclamped,effective_alpha_informative,calibration_alpha_bounded,predicted_directional_brf,directional_residual_brf,directional_abs_residual_brf,directional_abs_residual_outside_mc95,directional_acceptance_tolerance_brf,directional_acceptance_pass,delta_phase_case,delta_hemispheric_toa_reflectance,delta_hemispheric_first_reflectance,delta_hemispheric_higher_reflectance,delta_hemispheric_bottom_direct_transmittance,delta_hemispheric_bottom_diffuse_transmittance,delta_hemispheric_atmosphere_absorptance,delta_hemispheric_energy_sum,observable_contract
ccf_v1_0011,angular-holdout,0,0.999,0.66500000000000004,50,40,180,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,ice-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0012,angular-holdout,0,0.999,0.66500000000000004,50,65,0,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,ice-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0013,angular-holdout,0,0.999,0.66500000000000004,50,65,90,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,ice-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0014,angular-holdout,0,0.999,0.66500000000000004,50,65,180,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,ice-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0015,calibration,0,0.999,0.66500000000000004,65,0,0,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,ice-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0016,calibration,0,0.999,0.66500000000000004,65,40,0,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,ice-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0017,angular-holdout,0,0.999,0.66500000000000004,65,40,90,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,ice-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0018,calibration,0,0.999,0.66500000000000004,65,40,180,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,ice-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0019,calibration,0,0.999,0.66500000000000004,65,65,0,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,ice-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0020,calibration,0,0.999,0.66500000000000004,65,65,90,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,ice-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0021,calibration,0,0.999,0.66500000000000004,65,65,180,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,ice-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0022,calibration,0,0.999,0.75,30,0,0,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,liquid-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0023,calibration,0,0.999,0.75,30,40,0,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,liquid-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0024,angular-holdout,0,0.999,0.75,30,40,90,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,liquid-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0025,calibration,0,0.999,0.75,30,40,180,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,liquid-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0026,calibration,0,0.999,0.75,30,65,0,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,liquid-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0027,calibration,0,0.999,0.75,30,65,90,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,liquid-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0028,calibration,0,0.999,0.75,30,65,180,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,liquid-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0029,angular-holdout,0,0.999,0.75,50,0,0,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,liquid-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0030,angular-holdout,0,0.999,0.75,50,40,0,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,liquid-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0031,angular-holdout,0,0.999,0.75,50,40,90,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,liquid-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0032,angular-holdout,0,0.999,0.75,50,40,180,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,liquid-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0033,angular-holdout,0,0.999,0.75,50,65,0,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,liquid-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0034,angular-holdout,0,0.999,0.75,50,65,90,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,liquid-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0035,angular-holdout,0,0.999,0.75,50,65,180,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,liquid-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0036,calibration,0,0.999,0.75,65,0,0,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,liquid-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0037,calibration,0,0.999,0.75,65,40,0,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,liquid-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0038,angular-holdout,0,0.999,0.75,65,40,90,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,liquid-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0039,calibration,0,0.999,0.75,65,40,180,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,liquid-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0040,calibration,0,0.999,0.75,65,65,0,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,liquid-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
ccf_v1_0041,calibration,0,0.999,0.75,65,65,90,0,262144,5999168895323013141,32,65536,gpu,NVIDIA GeForce RTX 5090 (sm_120),0,0,0,0,0,0,0,0,0,0,0,0,,false,0.63179870842748886,0,0,0,0,0.0050000000000000001,true,liquid-dual-hg-moment,0,0,0,1,0,0,1,CUDA/analytic/legacy columns are directional BRF. Delta columns are hemispheric flux fractions and are not a directional fit target.
