case,split,tau,ssa,hg_g,sun_zenith_deg,view_zenith_deg,relative_azimuth_deg,surface_albedo_for_delta_join,delta_exact_row_available,samples,seed,max_scatters,batch_samples,target_ci95_halfwidth_brf
ccf_v1_0581,absorption-holdout,3,0.94999999999999996,0.75,30,40,90,0,true,4194304,5999168895323013141,256,65536,0.0050000000000000001
ccf_v1_0582,absorption-holdout,3,0.94999999999999996,0.75,30,65,180,0,true,4194304,5999168895323013141,256,65536,0.0050000000000000001
ccf_v1_0583,absorption-holdout,3,0.94999999999999996,0.75,65,0,0,0,true,4194304,5999168895323013141,256,65536,0.0050000000000000001
ccf_v1_0584,absorption-holdout,3,0.94999999999999996,0.75,65,40,90,0,true,4194304,5999168895323013141,256,65536,0.0050000000000000001
ccf_v1_0585,absorption-holdout,3,0.94999999999999996,0.75,65,65,180,0,true,4194304,5999168895323013141,256,65536,0.0050000000000000001
ccf_v1_0586,absorption-holdout,3,0.94999999999999996,0.84999999999999998,30,0,0,0,true,4194304,5999168895323013141,256,65536,0.0050000000000000001
ccf_v1_0587,absorption-holdout,3,0.94999999999999996,0.84999999999999998,30,40,90,0,true,4194304,5999168895323013141,256,65536,0.0050000000000000001
ccf_v1_0588,absorption-holdout,3,0.94999999999999996,0.84999999999999998,30,65,180,0,true,4194304,5999168895323013141,256,65536,0.0050000000000000001
ccf_v1_0589,absorption-holdout,3,0.94999999999999996,0.84999999999999998,65,0,0,0,true,4194304,5999168895323013141,256,65536,0.0050000000000000001
ccf_v1_0590,absorption-holdout,3,0.94999999999999996,0.84999999999999998,65,40,90,0,true,4194304,5999168895323013141,256,65536,0.0050000000000000001
ccf_v1_0591,absorption-holdout,3,0.94999999999999996,0.84999999999999998,65,65,180,0,true,4194304,5999168895323013141,256,65536,0.0050000000000000001
ccf_v1_0592,absorption-holdout,30,0.94999999999999996,0.75,30,0,0,0,true,4194304,5999168895323013141,512,65536,0.0050000000000000001
ccf_v1_0593,absorption-holdout,30,0.94999999999999996,0.75,30,40,90,0,true,4194304,5999168895323013141,512,65536,0.0050000000000000001
ccf_v1_0594,absorption-holdout,30,0.94999999999999996,0.75,30,65,180,0,true,4194304,5999168895323013141,512,65536,0.0050000000000000001
ccf_v1_0595,absorption-holdout,30,0.94999999999999996,0.75,65,0,0,0,true,4194304,5999168895323013141,512,65536,0.0050000000000000001
ccf_v1_0596,absorption-holdout,30,0.94999999999999996,0.75,65,40,90,0,true,4194304,5999168895323013141,512,65536,0.0050000000000000001
ccf_v1_0597,absorption-holdout,30,0.94999999999999996,0.75,65,65,180,0,true,4194304,5999168895323013141,512,65536,0.0050000000000000001
ccf_v1_0598,absorption-holdout,30,0.94999999999999996,0.84999999999999998,30,0,0,0,true,4194304,5999168895323013141,512,65536,0.0050000000000000001
ccf_v1_0599,absorption-holdout,30,0.94999999999999996,0.84999999999999998,30,40,90,0,true,4194304,5999168895323013141,512,65536,0.0050000000000000001
ccf_v1_0600,absorption-holdout,30,0.94999999999999996,0.84999999999999998,30,65,180,0,true,4194304,5999168895323013141,512,65536,0.0050000000000000001
ccf_v1_0601,absorption-holdout,30,0.94999999999999996,0.84999999999999998,65,0,0,0,true,4194304,5999168895323013141,512,65536,0.0050000000000000001
ccf_v1_0602,absorption-holdout,30,0.94999999999999996,0.84999999999999998,65,40,90,0,true,4194304,5999168895323013141,512,65536,0.0050000000000000001
ccf_v1_0603,absorption-holdout,30,0.94999999999999996,0.84999999999999998,65,65,180,0,true,4194304,5999168895323013141,512,65536,0.0050000000000000001
