# GOES-R ABI FM4 SRF ch 1035 CWG release
# wvl [micron],  wavenum [cm-1],  relative SRF
  9.8106540        1019.3      0.00068100
  9.8116170        1019.2      0.00115500
  9.8125800        1019.1      0.00163200
  9.8135430        1019.0      0.00210500
  9.8145060        1018.9      0.00257800
  9.8154690        1018.8      0.00310400
  9.8164330        1018.7      0.00326600
  9.8173960        1018.6      0.00307600
  9.8183600        1018.5      0.00284000
  9.8193240        1018.4      0.00261400
  9.8202890        1018.3      0.00238300
  9.8212530        1018.2      0.00215900
  9.8222180        1018.1      0.00192900
  9.8231830        1018.0      0.00170100
  9.8241480        1017.9      0.00150400
  9.8251130        1017.8      0.00150000
  9.8260780        1017.7      0.00193800
  9.8270440        1017.6      0.00241300
  9.8280100        1017.5      0.00289100
  9.8289760        1017.4      0.00337000
  9.8299420        1017.3      0.00384100
  9.8309080        1017.2      0.00431800
  9.8318750        1017.1      0.00479300
  9.8328420        1017.0      0.00528800
  9.8338090        1016.9      0.00553900
  9.8347760        1016.8      0.00549400
  9.8357430        1016.7      0.00541300
  9.8367110        1016.6      0.00532700
  9.8376780        1016.5      0.00524800
  9.8386460        1016.4      0.00516400
  9.8396140        1016.3      0.00508200
  9.8405830        1016.2      0.00500300
  9.8415510        1016.1      0.00491900
  9.8425200        1016.0      0.00485300
  9.8434890        1015.9      0.00480500
  9.8444580        1015.8      0.00475900
  9.8454270        1015.7      0.00471500
  9.8463960        1015.6      0.00467000
  9.8473660        1015.5      0.00462300
  9.8483360        1015.4      0.00458000
  9.8493060        1015.3      0.00453300
  9.8502760        1015.2      0.00448200
  9.8512460        1015.1      0.00436600
  9.8522170        1015.0      0.00411500
  9.8531880        1014.9      0.00383800
  9.8541580        1014.8      0.00356400
  9.8551300        1014.7      0.00328900
  9.8561010        1014.6      0.00301400
  9.8570720        1014.5      0.00274000
  9.8580440        1014.4      0.00246400
  9.8590160        1014.3      0.00219100
  9.8599880        1014.2      0.00206500
  9.8609600        1014.1      0.00235300
  9.8619330        1014.0      0.00265100
  9.8629060        1013.9      0.00294000
  9.8638780        1013.8      0.00323900
  9.8648520        1013.7      0.00353200
  9.8658250        1013.6      0.00382200
  9.8667980        1013.5      0.00412200
  9.8677720        1013.4      0.00445000
  9.8687460        1013.3      0.00449300
  9.8697200        1013.2      0.00431000
  9.8706940        1013.1      0.00402000
  9.8716680        1013.0      0.00374300
  9.8726430        1012.9      0.00346600
  9.8736180        1012.8      0.00318900
  9.8745930        1012.7      0.00291200
  9.8755680        1012.6      0.00264100
  9.8765430        1012.5      0.00233200
  9.8775190        1012.4      0.00232900
  9.8784950        1012.3      0.00272400
  9.8794700        1012.2      0.00321600
  9.8804470        1012.1      0.00369600
  9.8814230        1012.0      0.00417900
  9.8823990        1011.9      0.00465900
  9.8833760        1011.8      0.00513600
  9.8843530        1011.7      0.00561500
  9.8853300        1011.6      0.00608900
  9.8863070        1011.5      0.00649900
  9.8872850        1011.4      0.00680200
  9.8882630        1011.3      0.00707400
  9.8892410        1011.2      0.00735200
  9.8902190        1011.1      0.00762200
  9.8911970        1011.0      0.00790300
  9.8921750        1010.9      0.00817900
  9.8931540        1010.8      0.00845300
  9.8941330        1010.7      0.00870800
  9.8951120        1010.6      0.00878900
  9.8960910        1010.5      0.00830100
  9.8970700        1010.4      0.00775600
  9.8980500        1010.3      0.00722200
  9.8990300        1010.2      0.00668300
  9.9000100        1010.1      0.00614400
  9.9009900        1010.0      0.00560800
  9.9019700        1009.9      0.00506400
  9.9029510        1009.8      0.00451100
  9.9039320        1009.7      0.00420000
  9.9049130        1009.6      0.00461200
  9.9058940        1009.5      0.00505700
  9.9068750        1009.4      0.00549800
  9.9078570        1009.3      0.00595100
  9.9088390        1009.2      0.00639500
  9.9098210        1009.1      0.00683600
  9.9108030        1009.0      0.00727800
  9.9117850        1008.9      0.00775300
  9.9127680        1008.8      0.00799000
  9.9137500        1008.7      0.00794400
  9.9147330        1008.6      0.00781800
  9.9157160        1008.5      0.00768600
  9.9167000        1008.4      0.00756100
  9.9176830        1008.3      0.00743000
  9.9186670        1008.2      0.00730600
  9.9196510        1008.1      0.00717700
  9.9206350        1008.0      0.00705300
  9.9216190        1007.9      0.00694400
  9.9226040        1007.8      0.00686300
  9.9235880        1007.7      0.00679100
  9.9245730        1007.6      0.00672000
  9.9255580        1007.5      0.00664600
  9.9265440        1007.4      0.00657500
  9.9275290        1007.3      0.00650300
  9.9285150        1007.2      0.00642900
  9.9295010        1007.1      0.00635900
  9.9304870        1007.0      0.00647600
  9.9314730        1006.9      0.00704200
  9.9324590        1006.8      0.00772300
  9.9334460        1006.7      0.00839000
  9.9344330        1006.6      0.00905300
  9.9354200        1006.5      0.00971700
  9.9364070        1006.4      0.01038500
  9.9373940        1006.3      0.01105300
  9.9383820        1006.2      0.01173100
  9.9393700        1006.1      0.01213000
  9.9403580        1006.0      0.01217600
  9.9413460        1005.9      0.01212500
  9.9423340        1005.8      0.01204900
  9.9433230        1005.7      0.01199000
  9.9443120        1005.6      0.01194200
  9.9453010        1005.5      0.01184200
  9.9462900        1005.4      0.01179100
  9.9472790        1005.3      0.01174200
  9.9482690        1005.2      0.01177900
  9.9492590        1005.1      0.01210900
  9.9502490        1005.0      0.01253100
  9.9512390        1004.9      0.01294500
  9.9522290        1004.8      0.01336100
  9.9532200        1004.7      0.01377900
  9.9542110        1004.6      0.01419500
  9.9552020        1004.5      0.01460900
  9.9561930        1004.4      0.01505600
  9.9571840        1004.3      0.01546000
  9.9581760        1004.2      0.01515400
  9.9591670        1004.1      0.01489200
  9.9601590        1004.0      0.01468700
  9.9611520        1003.9      0.01446600
  9.9621440        1003.8      0.01419000
  9.9631360        1003.7      0.01391800
  9.9641290        1003.6      0.01367500
  9.9651220        1003.5      0.01349600
  9.9661150        1003.4      0.01331000
  9.9671090        1003.3      0.01334100
  9.9681020        1003.2      0.01349100
  9.9690960        1003.1      0.01363400
  9.9700900        1003.0      0.01377600
  9.9710840        1002.9      0.01391700
  9.9720780        1002.8      0.01406100
  9.9730730        1002.7      0.01420200
  9.9740670        1002.6      0.01434300
  9.9750620        1002.5      0.01449200
  9.9760570        1002.4      0.01504600
  9.9770530        1002.3      0.01550700
  9.9780480        1002.2      0.01606700
  9.9790440        1002.1      0.01654600
  9.9800400        1002.0      0.01706600
  9.9810360        1001.9      0.01762000
  9.9820320        1001.8      0.01806300
  9.9830290        1001.7      0.01862000
  9.9840260        1001.6      0.01899000
  9.9850220        1001.5      0.01904900
  9.9860200        1001.4      0.01905400
  9.9870170        1001.3      0.01905500
  9.9880140        1001.2      0.01905800
  9.9890120        1001.1      0.01906100
  9.9900100        1001.0      0.01906200
  9.9910080        1000.9      0.01906400
  9.9920060        1000.8      0.01906800
  9.9930050        1000.7      0.01907000
  9.9940040        1000.6      0.01977500
  9.9950020        1000.5      0.02047900
  9.9960020        1000.4      0.02118100
  9.9970010        1000.3      0.02188600
  9.9980000        1000.2      0.02259200
  9.9990000        1000.1      0.02329800
 10.0000000        1000.0      0.02400300
 10.0010000         999.9      0.02470800
 10.0020000         999.8      0.02535400
 10.0030000         999.7      0.02596600
 10.0040000         999.6      0.02664000
 10.0050000         999.5      0.02731400
 10.0060000         999.4      0.02798900
 10.0070000         999.3      0.02866400
 10.0080100         999.2      0.02934500
 10.0090100         999.1      0.03002600
 10.0100100         999.0      0.03070600
 10.0110100         998.9      0.03138300
 10.0120100         998.8      0.03206000
 10.0130200         998.7      0.03273000
 10.0140200         998.6      0.03287200
 10.0150200         998.5      0.03276500
 10.0160300         998.4      0.03265400
 10.0170300         998.3      0.03254300
 10.0180300         998.2      0.03243500
 10.0190400         998.1      0.03232300
 10.0200400         998.0      0.03221100
 10.0210400         997.9      0.03210200
 10.0220500         997.8      0.03199000
 10.0230500         997.7      0.03187700
 10.0240600         997.6      0.03177500
 10.0250600         997.5      0.03201600
 10.0260700         997.4      0.03277800
 10.0270700         997.3      0.03347400
 10.0280800         997.2      0.03415600
 10.0290800         997.1      0.03491900
 10.0300900         997.0      0.03564000
 10.0311000         996.9      0.03631900
 10.0321000         996.8      0.03706100
 10.0331100         996.7      0.03780400
 10.0341200         996.6      0.03848800
 10.0351200         996.5      0.03921000
 10.0361300         996.4      0.04004500
 10.0371400         996.3      0.04095900
 10.0381400         996.2      0.04186700
 10.0391500         996.1      0.04279000
 10.0401600         996.0      0.04381100
 10.0411700         995.9      0.04472000
 10.0421800         995.8      0.04564500
 10.0431900         995.7      0.04664400
 10.0441900         995.6      0.04757700
 10.0452000         995.5      0.04848200
 10.0462100         995.4      0.04940000
 10.0472200         995.3      0.05038500
 10.0482300         995.2      0.05138900
 10.0492400         995.1      0.05236100
 10.0502500         995.0      0.05333600
 10.0512600         994.9      0.05431100
 10.0522700         994.8      0.05528600
 10.0532800         994.7      0.05625900
 10.0542900         994.6      0.05722900
 10.0553000         994.5      0.05820400
 10.0563200         994.4      0.05917100
 10.0573300         994.3      0.06015100
 10.0583400         994.2      0.06121200
 10.0593500         994.1      0.06239100
 10.0603600         994.0      0.06361500
 10.0613700         993.9      0.06481900
 10.0623900         993.8      0.06597400
 10.0634000         993.7      0.06715100
 10.0644100         993.6      0.06837700
 10.0654300         993.5      0.06960200
 10.0664400         993.4      0.07080500
 10.0674500         993.3      0.07196900
 10.0684700         993.2      0.07330600
 10.0694800         993.1      0.07501700
 10.0704900         993.0      0.07685700
 10.0715100         992.9      0.07863200
 10.0725200         992.8      0.08044100
 10.0735400         992.7      0.08229400
 10.0745500         992.6      0.08413900
 10.0755700         992.5      0.08598600
 10.0765800         992.4      0.08783500
 10.0776000         992.3      0.08968300
 10.0786100         992.2      0.09154600
 10.0796300         992.1      0.09340000
 10.0806500         992.0      0.09528500
 10.0816600         991.9      0.09721300
 10.0826800         991.8      0.09911900
 10.0836900         991.7      0.10104500
 10.0847100         991.6      0.10295200
 10.0857300         991.5      0.10488000
 10.0867500         991.4      0.10678500
 10.0877600         991.3      0.10875600
 10.0887800         991.2      0.11069300
 10.0898000         991.1      0.11278700
 10.0908200         991.0      0.11550200
 10.0918400         990.9      0.11847200
 10.0928500         990.8      0.12137200
 10.0938700         990.7      0.12440400
 10.0948900         990.6      0.12775200
 10.0959100         990.5      0.13028300
 10.0969300         990.4      0.13313800
 10.0979500         990.3      0.13646300
 10.0989700         990.2      0.13935400
 10.0999900         990.1      0.14268500
 10.1010100         990.0      0.14556800
 10.1020300         989.9      0.14890500
 10.1030500         989.8      0.15177500
 10.1040700         989.7      0.15511100
 10.1050900         989.6      0.15795000
 10.1061100         989.5      0.16125800
 10.1071400         989.4      0.16406100
 10.1081600         989.3      0.16740900
 10.1091800         989.2      0.17022300
 10.1102000         989.1      0.17358000
 10.1112200         989.0      0.17641000
 10.1122500         988.9      0.18059900
 10.1132700         988.8      0.18561400
 10.1142900         988.7      0.19058300
 10.1153100         988.6      0.19553300
 10.1163400         988.5      0.20047100
 10.1173600         988.4      0.20541100
 10.1183900         988.3      0.21035200
 10.1194100         988.2      0.21530200
 10.1204300         988.1      0.22026900
 10.1214600         988.0      0.22522300
 10.1224800         987.9      0.23017800
 10.1235100         987.8      0.23513700
 10.1245300         987.7      0.24001200
 10.1255600         987.6      0.24570400
 10.1265800         987.5      0.25124900
 10.1276100         987.4      0.25609400
 10.1286300         987.3      0.26183700
 10.1296600         987.2      0.26725100
 10.1306900         987.1      0.27212300
 10.1317100         987.0      0.27787800
 10.1327400         986.9      0.28314400
 10.1337700         986.8      0.28888100
 10.1347900         986.7      0.29503800
 10.1358200         986.6      0.30117500
 10.1368500         986.5      0.30807000
 10.1378800         986.4      0.31435500
 10.1389000         986.3      0.32027600
 10.1399300         986.2      0.32614000
 10.1409600         986.1      0.33199400
 10.1419900         986.0      0.33846500
 10.1430200         985.9      0.34498900
 10.1440500         985.8      0.35092700
 10.1450700         985.7      0.35720100
 10.1461000         985.6      0.36462200
 10.1471300         985.5      0.37260900
 10.1481600         985.4      0.37963800
 10.1491900         985.3      0.38692700
 10.1502200         985.2      0.39500100
 10.1512500         985.1      0.40224900
 10.1522800         985.0      0.41027600
 10.1533200         984.9      0.41733700
 10.1543500         984.8      0.42464200
 10.1553800         984.7      0.43247200
 10.1564100         984.6      0.44023600
 10.1574400         984.5      0.44897800
 10.1584700         984.4      0.45755900
 10.1595000         984.3      0.46573900
 10.1605400         984.2      0.47418000
 10.1615700         984.1      0.48317000
 10.1626000         984.0      0.49180000
 10.1636300         983.9      0.50012400
 10.1646700         983.8      0.50922000
 10.1657000         983.7      0.51761200
 10.1667300         983.6      0.52549100
 10.1677700         983.5      0.53430600
 10.1688000         983.4      0.54266200
 10.1698400         983.3      0.55133300
 10.1708700         983.2      0.55982300
 10.1719100         983.1      0.56832100
 10.1729400         983.0      0.57701600
 10.1739700         982.9      0.58527400
 10.1750100         982.8      0.59435000
