# GOES-R ABI FM4 SRF ch 064 CWG release
# wvl [micron],  wavenum [cm-1],  relative SRF
  0.5729020       17455.0      0.00099700
  0.5729350       17454.0      0.00100600
  0.5729670       17453.0      0.00101500
  0.5730000       17452.0      0.00102400
  0.5730330       17451.0      0.00103300
  0.5730660       17450.0      0.00104200
  0.5730990       17449.0      0.00105200
  0.5731320       17448.0      0.00106200
  0.5731640       17447.0      0.00107100
  0.5731970       17446.0      0.00108100
  0.5732300       17445.0      0.00109100
  0.5732630       17444.0      0.00110000
  0.5732960       17443.0      0.00111000
  0.5733290       17442.0      0.00112000
  0.5733620       17441.0      0.00113000
  0.5733940       17440.0      0.00114000
  0.5734270       17439.0      0.00115000
  0.5734600       17438.0      0.00116000
  0.5734930       17437.0      0.00117000
  0.5735260       17436.0      0.00118000
  0.5735590       17435.0      0.00119000
  0.5735920       17434.0      0.00120100
  0.5736250       17433.0      0.00121100
  0.5736580       17432.0      0.00122100
  0.5736910       17431.0      0.00123200
  0.5737230       17430.0      0.00124200
  0.5737560       17429.0      0.00125300
  0.5737890       17428.0      0.00126400
  0.5738220       17427.0      0.00127500
  0.5738550       17426.0      0.00128500
  0.5738880       17425.0      0.00129700
  0.5739210       17424.0      0.00130800
  0.5739540       17423.0      0.00131900
  0.5739870       17422.0      0.00133000
  0.5740200       17421.0      0.00134200
  0.5740530       17420.0      0.00135500
  0.5740860       17419.0      0.00136800
  0.5741190       17418.0      0.00138200
  0.5741520       17417.0      0.00139500
  0.5741850       17416.0      0.00140900
  0.5742180       17415.0      0.00142200
  0.5742510       17414.0      0.00143600
  0.5742840       17413.0      0.00145000
  0.5743170       17412.0      0.00146400
  0.5743500       17411.0      0.00147900
  0.5743830       17410.0      0.00149300
  0.5744160       17409.0      0.00150700
  0.5744490       17408.0      0.00152200
  0.5744820       17407.0      0.00153700
  0.5745150       17406.0      0.00155200
  0.5745480       17405.0      0.00156700
  0.5745810       17404.0      0.00158200
  0.5746140       17403.0      0.00159700
  0.5746470       17402.0      0.00161200
  0.5746800       17401.0      0.00162800
  0.5747130       17400.0      0.00164300
  0.5747460       17399.0      0.00165900
  0.5747790       17398.0      0.00167500
  0.5748120       17397.0      0.00169100
  0.5748450       17396.0      0.00170700
  0.5748780       17395.0      0.00172300
  0.5749110       17394.0      0.00173900
  0.5749440       17393.0      0.00175500
  0.5749770       17392.0      0.00177100
  0.5750100       17391.0      0.00178800
  0.5750430       17390.0      0.00180700
  0.5750760       17389.0      0.00182600
  0.5751090       17388.0      0.00184400
  0.5751420       17387.0      0.00186300
  0.5751750       17386.0      0.00188300
  0.5752090       17385.0      0.00190200
  0.5752420       17384.0      0.00192200
  0.5752750       17383.0      0.00194100
  0.5753080       17382.0      0.00196100
  0.5753410       17381.0      0.00198100
  0.5753740       17380.0      0.00200100
  0.5754070       17379.0      0.00202200
  0.5754400       17378.0      0.00204200
  0.5754730       17377.0      0.00206300
  0.5755060       17376.0      0.00208400
  0.5755400       17375.0      0.00210500
  0.5755730       17374.0      0.00212600
  0.5756060       17373.0      0.00214700
  0.5756390       17372.0      0.00216800
  0.5756720       17371.0      0.00219000
  0.5757050       17370.0      0.00221200
  0.5757380       17369.0      0.00223300
  0.5757720       17368.0      0.00225500
  0.5758050       17367.0      0.00227700
  0.5758380       17366.0      0.00230000
  0.5758710       17365.0      0.00232200
  0.5759040       17364.0      0.00234400
  0.5759370       17363.0      0.00236700
  0.5759710       17362.0      0.00239000
  0.5760040       17361.0      0.00241400
  0.5760370       17360.0      0.00243900
  0.5760700       17359.0      0.00246400
  0.5761030       17358.0      0.00249000
  0.5761360       17357.0      0.00251600
  0.5761700       17356.0      0.00254200
  0.5762030       17355.0      0.00256800
  0.5762360       17354.0      0.00259500
  0.5762690       17353.0      0.00262100
  0.5763020       17352.0      0.00264800
  0.5763360       17351.0      0.00267500
  0.5763690       17350.0      0.00270200
  0.5764020       17349.0      0.00273000
  0.5764350       17348.0      0.00275700
  0.5764690       17347.0      0.00278500
  0.5765020       17346.0      0.00281300
  0.5765350       17345.0      0.00284200
  0.5765680       17344.0      0.00287000
  0.5766020       17343.0      0.00289900
  0.5766350       17342.0      0.00292800
