# GOES-R ABI FM4 SRF ch 086 CWG release
# wvl [micron],  wavenum [cm-1],  relative SRF
  0.8270610       12091.0      0.00098300
  0.8271300       12090.0      0.00100300
  0.8271980       12089.0      0.00102500
  0.8272670       12088.0      0.00104800
  0.8273350       12087.0      0.00107300
  0.8274040       12086.0      0.00109800
  0.8274720       12085.0      0.00112500
  0.8275410       12084.0      0.00115200
  0.8276090       12083.0      0.00118000
  0.8276780       12082.0      0.00120900
  0.8277460       12081.0      0.00123700
  0.8278150       12080.0      0.00126600
  0.8278830       12079.0      0.00129500
  0.8279520       12078.0      0.00132300
  0.8280200       12077.0      0.00135100
  0.8280890       12076.0      0.00137900
  0.8281570       12075.0      0.00140600
  0.8282260       12074.0      0.00143400
  0.8282950       12073.0      0.00146000
  0.8283630       12072.0      0.00148700
  0.8284320       12071.0      0.00151300
  0.8285000       12070.0      0.00153900
  0.8285690       12069.0      0.00156500
  0.8286380       12068.0      0.00159200
  0.8287060       12067.0      0.00161900
  0.8287750       12066.0      0.00164600
  0.8288440       12065.0      0.00167500
  0.8289120       12064.0      0.00170400
  0.8289810       12063.0      0.00173400
  0.8290500       12062.0      0.00176500
  0.8291190       12061.0      0.00180100
  0.8291870       12060.0      0.00183900
  0.8292560       12059.0      0.00187900
  0.8293250       12058.0      0.00192100
  0.8293940       12057.0      0.00196300
  0.8294630       12056.0      0.00200700
  0.8295310       12055.0      0.00205300
  0.8296000       12054.0      0.00209900
  0.8296690       12053.0      0.00214600
  0.8297380       12052.0      0.00219400
  0.8298070       12051.0      0.00224300
  0.8298760       12050.0      0.00229200
  0.8299440       12049.0      0.00234200
  0.8300130       12048.0      0.00239300
  0.8300820       12047.0      0.00244700
  0.8301510       12046.0      0.00250500
  0.8302200       12045.0      0.00256500
  0.8302890       12044.0      0.00262600
  0.8303580       12043.0      0.00268800
  0.8304270       12042.0      0.00275200
  0.8304960       12041.0      0.00281700
  0.8305650       12040.0      0.00288300
  0.8306340       12039.0      0.00295100
  0.8307030       12038.0      0.00301900
  0.8307720       12037.0      0.00308800
  0.8308410       12036.0      0.00315800
  0.8309100       12035.0      0.00322900
  0.8309790       12034.0      0.00330100
  0.8310480       12033.0      0.00337500
  0.8311170       12032.0      0.00345600
  0.8311860       12031.0      0.00353800
  0.8312550       12030.0      0.00362200
  0.8313240       12029.0      0.00370600
  0.8313930       12028.0      0.00379200
  0.8314630       12027.0      0.00387900
  0.8315320       12026.0      0.00396700
  0.8316010       12025.0      0.00405800
  0.8316700       12024.0      0.00415000
  0.8317390       12023.0      0.00424400
  0.8318080       12022.0      0.00434000
  0.8318780       12021.0      0.00443900
  0.8319470       12020.0      0.00453900
  0.8320160       12019.0      0.00464300
  0.8320850       12018.0      0.00476200
  0.8321540       12017.0      0.00489000
  0.8322240       12016.0      0.00502300
  0.8322930       12015.0      0.00516100
  0.8323620       12014.0      0.00530300
  0.8324320       12013.0      0.00544900
  0.8325010       12012.0      0.00559900
  0.8325700       12011.0      0.00575300
  0.8326390       12010.0      0.00590900
  0.8327090       12009.0      0.00606900
  0.8327780       12008.0      0.00623100
  0.8328480       12007.0      0.00639600
  0.8329170       12006.0      0.00656200
  0.8329860       12005.0      0.00673100
  0.8330560       12004.0      0.00691200
  0.8331250       12003.0      0.00711100
  0.8331940       12002.0      0.00731300
  0.8332640       12001.0      0.00752000
  0.8333330       12000.0      0.00773200
  0.8334030       11999.0      0.00794900
  0.8334720       11998.0      0.00816900
  0.8335420       11997.0      0.00839500
  0.8336110       11996.0      0.00862500
  0.8336810       11995.0      0.00885900
  0.8337500       11994.0      0.00909800
  0.8338200       11993.0      0.00934100
  0.8338890       11992.0      0.00958800
  0.8339590       11991.0      0.00984000
  0.8340280       11990.0      0.01010300
  0.8340980       11989.0      0.01040500
  0.8341680       11988.0      0.01071500
  0.8342370       11987.0      0.01103300
  0.8343070       11986.0      0.01135900
  0.8343760       11985.0      0.01169300
  0.8344460       11984.0      0.01203500
  0.8345160       11983.0      0.01238400
  0.8345850       11982.0      0.01274000
  0.8346550       11981.0      0.01310400
  0.8347250       11980.0      0.01347600
  0.8347940       11979.0      0.01385400
  0.8348640       11978.0      0.01424000
  0.8349340       11977.0      0.01463200
  0.8350030       11976.0      0.01503200
  0.8350730       11975.0      0.01547100
  0.8351430       11974.0      0.01595500
  0.8352130       11973.0      0.01645400
  0.8352820       11972.0      0.01696800
  0.8353520       11971.0      0.01749600
  0.8354220       11970.0      0.01803800
  0.8354920       11969.0      0.01859300
  0.8355610       11968.0      0.01916100
  0.8356310       11967.0      0.01974100
  0.8357010       11966.0      0.02033200
  0.8357710       11965.0      0.02093500
  0.8358410       11964.0      0.02154800
  0.8359110       11963.0      0.02217100
  0.8359810       11962.0      0.02280400
  0.8360500       11961.0      0.02345800
  0.8361200       11960.0      0.02417300
  0.8361900       11959.0      0.02493000
  0.8362600       11958.0      0.02570600
  0.8363300       11957.0      0.02650000
  0.8364000       11956.0      0.02731300
  0.8364700       11955.0      0.02814400
  0.8365400       11954.0      0.02899400
  0.8366100       11953.0      0.02986400
  0.8366800       11952.0      0.03075200
  0.8367500       11951.0      0.03166000
  0.8368200       11950.0      0.03258700
  0.8368900       11949.0      0.03353400
  0.8369600       11948.0      0.03450100
  0.8370300       11947.0      0.03549200
  0.8371000       11946.0      0.03654800
  0.8371700       11945.0      0.03769000
  0.8372400       11944.0      0.03890300
  0.8373110       11943.0      0.04015900
  0.8373810       11942.0      0.04145600
  0.8374510       11941.0      0.04279200
  0.8375210       11940.0      0.04416600
  0.8375910       11939.0      0.04557700
  0.8376610       11938.0      0.04702400
  0.8377310       11937.0      0.04850400
  0.8378020       11936.0      0.05001700
  0.8378720       11935.0      0.05156000
  0.8379420       11934.0      0.05313300
  0.8380120       11933.0      0.05473500
  0.8380820       11932.0      0.05640400
  0.8381530       11931.0      0.05817600
  0.8382230       11930.0      0.06007100
  0.8382930       11929.0      0.06209400
  0.8383640       11928.0      0.06422100
  0.8384340       11927.0      0.06644000
  0.8385040       11926.0      0.06873800
  0.8385740       11925.0      0.07110100
  0.8386450       11924.0      0.07351600
  0.8387150       11923.0      0.07597000
  0.8387850       11922.0      0.07845000
  0.8388560       11921.0      0.08094200
  0.8389260       11920.0      0.08343300
  0.8389970       11919.0      0.08590900
  0.8390670       11918.0      0.08841600
  0.8391370       11917.0      0.09098700
  0.8392080       11916.0      0.09356900
  0.8392780       11915.0      0.09611100
  0.8393490       11914.0      0.09859700
  0.8394190       11913.0      0.10104900
  0.8394900       11912.0      0.10347700
  0.8395600       11911.0      0.10588900
  0.8396310       11910.0      0.10829600
  0.8397010       11909.0      0.11070500
  0.8397720       11908.0      0.11312700
  0.8398420       11907.0      0.11557000
  0.8399130       11906.0      0.11804400
  0.8399830       11905.0      0.12055800
  0.8400540       11904.0      0.12310800
  0.8401240       11903.0      0.12566900
  0.8401950       11902.0      0.12824600
  0.8402660       11901.0      0.13084100
  0.8403360       11900.0      0.13345700
  0.8404070       11899.0      0.13610000
  0.8404770       11898.0      0.13877200
  0.8405480       11897.0      0.14147700
  0.8406190       11896.0      0.14421800
  0.8406890       11895.0      0.14700000
  0.8407600       11894.0      0.14982800
  0.8408310       11893.0      0.15272500
  0.8409010       11892.0      0.15570300
  0.8409720       11891.0      0.15875900
  0.8410430       11890.0      0.16188300
  0.8411140       11889.0      0.16504600
  0.8411840       11888.0      0.16824300
  0.8412550       11887.0      0.17147400
  0.8413260       11886.0      0.17473900
  0.8413970       11885.0      0.17803700
  0.8414680       11884.0      0.18136900
  0.8415380       11883.0      0.18473300
  0.8416090       11882.0      0.18812900
  0.8416800       11881.0      0.19155700
  0.8417510       11880.0      0.19501600
  0.8418220       11879.0      0.19850500
  0.8418930       11878.0      0.20202500
  0.8419630       11877.0      0.20557500
  0.8420340       11876.0      0.20916000
  0.8421050       11875.0      0.21281100
  0.8421760       11874.0      0.21653200
  0.8422470       11873.0      0.22032100
  0.8423180       11872.0      0.22417600
  0.8423890       11871.0      0.22809100
  0.8424600       11870.0      0.23205600
  0.8425310       11869.0      0.23606600
  0.8426020       11868.0      0.24012600
  0.8426730       11867.0      0.24423500
  0.8427440       11866.0      0.24839800
  0.8428150       11865.0      0.25261400
  0.8428860       11864.0      0.25688700
  0.8429570       11863.0      0.26121800
  0.8430280       11862.0      0.26561000
  0.8430990       11861.0      0.27006700
  0.8431700       11860.0      0.27458700
  0.8432410       11859.0      0.27916500
  0.8433130       11858.0      0.28379600
  0.8433840       11857.0      0.28847500
  0.8434550       11856.0      0.29319800
  0.8435260       11855.0      0.29796000
  0.8435970       11854.0      0.30275600
  0.8436680       11853.0      0.30758200
  0.8437390       11852.0      0.31243200
  0.8438110       11851.0      0.31730200
  0.8438820       11850.0      0.32218700
  0.8439530       11849.0      0.32708300
  0.8440240       11848.0      0.33209300
  0.8440960       11847.0      0.33731000
  0.8441670       11846.0      0.34259700
  0.8442380       11845.0      0.34795000
  0.8443090       11844.0      0.35336000
  0.8443810       11843.0      0.35882200
  0.8444520       11842.0      0.36432900
  0.8445230       11841.0      0.36987500
  0.8445950       11840.0      0.37545300
  0.8446660       11839.0      0.38105700
  0.8447370       11838.0      0.38668000
  0.8448090       11837.0      0.39231600
  0.8448800       11836.0      0.39795800
  0.8449510       11835.0      0.40359900
  0.8450230       11834.0      0.40923800
  0.8450940       11833.0      0.41491800
  0.8451660       11832.0      0.42064400
  0.8452370       11831.0      0.42640500
  0.8453090       11830.0      0.43218700
  0.8453800       11829.0      0.43797800
  0.8454510       11828.0      0.44376500
  0.8455230       11827.0      0.44953500
  0.8455940       11826.0      0.45527600
  0.8456660       11825.0      0.46098900
  0.8457370       11824.0      0.46669400
  0.8458090       11823.0      0.47238800
  0.8458810       11822.0      0.47806700
  0.8459520       11821.0      0.48372700
  0.8460240       11820.0      0.48936700
  0.8460950       11819.0      0.49500600
  0.8461670       11818.0      0.50064800
  0.8462380       11817.0      0.50628900
  0.8463100       11816.0      0.51192700
  0.8463820       11815.0      0.51755600
  0.8464530       11814.0      0.52317400
  0.8465250       11813.0      0.52877800
  0.8465970       11812.0      0.53436300
  0.8466680       11811.0      0.53992700
  0.8467400       11810.0      0.54546600
  0.8468120       11809.0      0.55097600
  0.8468830       11808.0      0.55645300
  0.8469550       11807.0      0.56189500
  0.8470270       11806.0      0.56729500
  0.8470990       11805.0      0.57262800
  0.8471700       11804.0      0.57790600
  0.8472420       11803.0      0.58314900
  0.8473140       11802.0      0.58837700
  0.8473860       11801.0      0.59360300
  0.8474580       11800.0      0.59881800
  0.8475290       11799.0      0.60402000
  0.8476010       11798.0      0.60920900
  0.8476730       11797.0      0.61438700
  0.8477450       11796.0      0.61955400
  0.8478170       11795.0      0.62471000
  0.8478890       11794.0      0.62985400
  0.8479610       11793.0      0.63498900
  0.8480330       11792.0      0.64011500
  0.8481040       11791.0      0.64524500
  0.8481760       11790.0      0.65037700
  0.8482480       11789.0      0.65550800
  0.8483200       11788.0      0.66063500
  0.8483920       11787.0      0.66575500
  0.8484640       11786.0      0.67086400
  0.8485360       11785.0      0.67595900
  0.8486080       11784.0      0.68103700
  0.8486800       11783.0      0.68609500
  0.8487520       11782.0      0.69113000
  0.8488240       11781.0      0.69613700
  0.8488960       11780.0      0.70111400
  0.8489690       11779.0      0.70605700
  0.8490410       11778.0      0.71097500
  0.8491130       11777.0      0.71586000
  0.8491850       11776.0      0.72058900
  0.8492570       11775.0      0.72509400
  0.8493290       11774.0      0.72946900
  0.8494010       11773.0      0.73374000
  0.8494730       11772.0      0.73792700
  0.8495450       11771.0      0.74205200
  0.8496180       11770.0      0.74613700
  0.8496900       11769.0      0.75020200
  0.8497620       11768.0      0.75426900
  0.8498340       11767.0      0.75835900
  0.8499070       11766.0      0.76249300
  0.8499790       11765.0      0.76669200
  0.8500510       11764.0      0.77094000
  0.8501230       11763.0      0.77514400
  0.8501960       11762.0      0.77931300
  0.8502680       11761.0      0.78346500
  0.8503400       11760.0      0.78761500
  0.8504120       11759.0      0.79178000
  0.8504850       11758.0      0.79597600
  0.8505570       11757.0      0.80022000
  0.8506290       11756.0      0.80452700
  0.8507020       11755.0      0.80891500
  0.8507740       11754.0      0.81339900
  0.8508470       11753.0      0.81799700
  0.8509190       11752.0      0.82272400
  0.8509910       11751.0      0.82759700
  0.8510640       11750.0      0.83294500
  0.8511360       11749.0      0.83910700
  0.8512090       11748.0      0.84576300
  0.8512810       11747.0      0.85281000
  0.8513540       11746.0      0.86014600
  0.8514260       11745.0      0.86766900
  0.8514990       11744.0      0.87527400
  0.8515710       11743.0      0.88286000
  0.8516440       11742.0      0.89032300
  0.8517160       11741.0      0.89756000
  0.8517890       11740.0      0.90446800
  0.8518610       11739.0      0.91094200
  0.8519340       11738.0      0.91688100
  0.8520060       11737.0      0.92192900
  0.8520790       11736.0      0.92652100
  0.8521520       11735.0      0.93103000
  0.8522240       11734.0      0.93544200
  0.8522970       11733.0      0.93974500
  0.8523700       11732.0      0.94392600
  0.8524420       11731.0      0.94797300
  0.8525150       11730.0      0.95187200
  0.8525880       11729.0      0.95561200
  0.8526600       11728.0      0.95917800
  0.8527330       11727.0      0.96255800
  0.8528060       11726.0      0.96573900
  0.8528780       11725.0      0.96865800
  0.8529510       11724.0      0.97128000
  0.8530240       11723.0      0.97364200
  0.8530970       11722.0      0.97593000
  0.8531700       11721.0      0.97817900
  0.8532420       11720.0      0.98036300
  0.8533150       11719.0      0.98245600
  0.8533880       11718.0      0.98443500
  0.8534610       11717.0      0.98627200
  0.8535340       11716.0      0.98794300
  0.8536060       11715.0      0.98942100
  0.8536790       11714.0      0.99068200
  0.8537520       11713.0      0.99175800
  0.8538250       11712.0      0.99270000
  0.8538980       11711.0      0.99353300
  0.8539710       11710.0      0.99427900
  0.8540440       11709.0      0.99496900
  0.8541170       11708.0      0.99563500
  0.8541900       11707.0      0.99627200
  0.8542630       11706.0      0.99686900
  0.8543360       11705.0      0.99741600
  0.8544090       11704.0      0.99790500
  0.8544820       11703.0      0.99832400
  0.8545550       11702.0      0.99866600
  0.8546280       11701.0      0.99898000
  0.8547010       11700.0      0.99928500
  0.8547740       11699.0      0.99955900
  0.8548470       11698.0      0.99978300
  0.8549200       11697.0      0.99993700
  0.8549930       11696.0      1.00000000
  0.8550660       11695.0      0.99999400
  0.8551390       11694.0      0.99997600
  0.8552130       11693.0      0.99994600
  0.8552860       11692.0      0.99990500
  0.8553590       11691.0      0.99985500
  0.8554320       11690.0      0.99978600
  0.8555050       11689.0      0.99946900
  0.8555780       11688.0      0.99886100
  0.8556520       11687.0      0.99803000
  0.8557250       11686.0      0.99704400
  0.8557980       11685.0      0.99596900
  0.8558710       11684.0      0.99487400
  0.8559450       11683.0      0.99382700
  0.8560180       11682.0      0.99288700
  0.8560910       11681.0      0.99192100
  0.8561640       11680.0      0.99092700
  0.8562380       11679.0      0.98998400
  0.8563110       11678.0      0.98916600
  0.8563840       11677.0      0.98842300
  0.8564580       11676.0      0.98772300
  0.8565310       11675.0      0.98705900
  0.8566040       11674.0      0.98642300
  0.8566780       11673.0      0.98580800
  0.8567510       11672.0      0.98520600
  0.8568250       11671.0      0.98460900
  0.8568980       11670.0      0.98401000
  0.8569710       11669.0      0.98340100
  0.8570450       11668.0      0.98277900
  0.8571180       11667.0      0.98216600
  0.8571920       11666.0      0.98157400
  0.8572650       11665.0      0.98098300
  0.8573390       11664.0      0.98039000
  0.8574120       11663.0      0.97980000
  0.8574860       11662.0      0.97921400
  0.8575590       11661.0      0.97863700
  0.8576330       11660.0      0.97807100
  0.8577060       11659.0      0.97751900
  0.8577800       11658.0      0.97698500
  0.8578540       11657.0      0.97647100
  0.8579270       11656.0      0.97598100
  0.8580010       11655.0      0.97551800
  0.8580740       11654.0      0.97513100
  0.8581480       11653.0      0.97476100
  0.8582220       11652.0      0.97439900
  0.8582950       11651.0      0.97404500
  0.8583690       11650.0      0.97369900
  0.8584430       11649.0      0.97336000
  0.8585160       11648.0      0.97302900
  0.8585900       11647.0      0.97270400
  0.8586640       11646.0      0.97238600
  0.8587380       11645.0      0.97207400
  0.8588110       11644.0      0.97176800
  0.8588850       11643.0      0.97146800
  0.8589590       11642.0      0.97118400
  0.8590330       11641.0      0.97091000
  0.8591070       11640.0      0.97061900
  0.8591800       11639.0      0.97031400
  0.8592540       11638.0      0.97000400
  0.8593280       11637.0      0.96969600
  0.8594020       11636.0      0.96939600
  0.8594760       11635.0      0.96911400
  0.8595500       11634.0      0.96885600
  0.8596230       11633.0      0.96862900
  0.8596970       11632.0      0.96844200
  0.8597710       11631.0      0.96830100
  0.8598450       11630.0      0.96820400
  0.8599190       11629.0      0.96812600
  0.8599930       11628.0      0.96804000
  0.8600670       11627.0      0.96794000
  0.8601410       11626.0      0.96784300
  0.8602150       11625.0      0.96774500
  0.8602890       11624.0      0.96764100
  0.8603630       11623.0      0.96752300
  0.8604370       11622.0      0.96738800
  0.8605110       11621.0      0.96723000
  0.8605850       11620.0      0.96704300
  0.8606590       11619.0      0.96680500
  0.8607330       11618.0      0.96638700
  0.8608070       11617.0      0.96581900
  0.8608820       11616.0      0.96516700
  0.8609560       11615.0      0.96449900
  0.8610300       11614.0      0.96386800
  0.8611040       11613.0      0.96318000
  0.8611780       11612.0      0.96243900
  0.8612520       11611.0      0.96168400
  0.8613260       11610.0      0.96095500
  0.8614010       11609.0      0.96029100
  0.8614750       11608.0      0.95973200
