# GOES-R ABI FM4 SRF ch 047 CWG release
# wvl [micron],  wavenum [cm-1],  relative SRF
  0.4454940       22447.0      0.03064100
  0.4455140       22446.0      0.03127300
  0.4455340       22445.0      0.03191100
  0.4455530       22444.0      0.03255500
  0.4455730       22443.0      0.03320500
  0.4455930       22442.0      0.03386000
  0.4456130       22441.0      0.03452000
  0.4456330       22440.0      0.03518500
  0.4456530       22439.0      0.03585500
  0.4456730       22438.0      0.03652900
  0.4456920       22437.0      0.03720800
  0.4457120       22436.0      0.03789000
  0.4457320       22435.0      0.03857600
  0.4457520       22434.0      0.03926500
  0.4457720       22433.0      0.03995700
  0.4457920       22432.0      0.04065300
  0.4458120       22431.0      0.04135000
  0.4458310       22430.0      0.04205100
  0.4458510       22429.0      0.04275300
  0.4458710       22428.0      0.04345700
  0.4458910       22427.0      0.04416300
  0.4459110       22426.0      0.04487300
  0.4459310       22425.0      0.04560700
  0.4459510       22424.0      0.04637600
  0.4459710       22423.0      0.04718700
  0.4459910       22422.0      0.04804800
  0.4460100       22421.0      0.04896200
  0.4460300       22420.0      0.04989800
  0.4460500       22419.0      0.05085200
  0.4460700       22418.0      0.05182400
  0.4460900       22417.0      0.05281200
  0.4461100       22416.0      0.05381800
  0.4461300       22415.0      0.05484000
  0.4461500       22414.0      0.05587800
  0.4461700       22413.0      0.05693200
  0.4461900       22412.0      0.05800200
  0.4462090       22411.0      0.05908800
  0.4462290       22410.0      0.06018900
  0.4462490       22409.0      0.06130400
  0.4462690       22408.0      0.06243500
  0.4462890       22407.0      0.06358000
  0.4463090       22406.0      0.06474000
  0.4463290       22405.0      0.06591300
  0.4463490       22404.0      0.06710000
  0.4463690       22403.0      0.06830000
  0.4463890       22402.0      0.06951400
  0.4464090       22401.0      0.07074100
  0.4464290       22400.0      0.07198000
  0.4464490       22399.0      0.07323200
  0.4464680       22398.0      0.07449500
  0.4464880       22397.0      0.07577100
  0.4465080       22396.0      0.07705900
  0.4465280       22395.0      0.07835700
  0.4465480       22394.0      0.07966700
  0.4465680       22393.0      0.08098800
