case_id,palette,base_luminance,sun_elevation_deg,slope_toward_sun_deg,local_mu,illumination_factor,albedo_r,albedo_g,albedo_b,albedo_y,input_r,input_g,input_b,input_y,identity_r,identity_g,identity_b,identity_y,sza_applied_gain,sza_r,sza_g,sza_b,sza_y,toe_applied_gain,toe_r,toe_g,toe_b,toe_y,combined_sza_gain,combined_toe_gain,combined_effective_gain,combined_r,combined_g,combined_b,combined_y,max_chroma_error
28,forest,0,59.999,0,0.866016677006,0.890133675145,0,0,0,0,0,0,0,0,0,0,0,0,1.00001007692,0,0,0,0,1,0,0,0,0,1.00001007692,1,1.00001007692,0,0,0,0,0
29,forest,0,59.999,20,0.98480472213,0.987539872146,0,0,0,0,0,0,0,0,0,0,0,0,1.00001007692,0,0,0,0,1,0,0,0,0,1.00001007692,1,1.00001007692,0,0,0,0,0
30,forest,0,60,-20,0.642787609687,0.707085839943,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
31,forest,0,60,0,0.866025403784,0.890140831103,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
32,forest,0,60,20,0.984807753012,0.98754235747,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
33,forest,0,75,-20,0.819152044289,0.851704676317,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
34,forest,0,75,0,0.965925826289,0.972059177557,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
35,forest,0,75,20,0.996194698092,0.996879652435,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
36,forest,1e-06,-5,-20,0,0.18,7.09018718094e-07,1.14357857757e-06,4.34559859477e-07,1e-06,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1,1,1,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,0
37,forest,1e-06,-5,0,0,0.18,7.09018718094e-07,1.14357857757e-06,4.34559859477e-07,1e-06,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1,1,1,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,0
38,forest,1e-06,-5,20,0,0.18,7.09018718094e-07,1.14357857757e-06,4.34559859477e-07,1e-06,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1,1,1,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,0
39,forest,1e-06,0,-20,0,0.18,7.09018718094e-07,1.14357857757e-06,4.34559859477e-07,1e-06,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1,1,1,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,0
40,forest,1e-06,0,0,0,0.18,7.09018718094e-07,1.14357857757e-06,4.34559859477e-07,1e-06,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1,1,1,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,0
41,forest,1e-06,0,20,0,0.18,7.09018718094e-07,1.14357857757e-06,4.34559859477e-07,1e-06,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1,1,1,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,0
42,forest,1e-06,10,-20,0,0.18,7.09018718094e-07,1.14357857757e-06,4.34559859477e-07,1e-06,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1,1,1,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,0
