id,x,n_real,n_imag,angle_deg,qext,qsca,g,phase_sr1
0.0,3.5532991886138916,1.3446881771087646,9.033612191622353e-10,0.0,2.4887235164642334,2.4887235164642334,0.8019805550575256,1.1206272488489533
0.0,3.5532991886138916,1.3446881771087646,9.033612191622353e-10,0.1,2.4887235164642334,2.4887235164642334,0.8019805550575256,1.1206156649175205
0.0,3.5532991886138916,1.3446881771087646,9.033612191622353e-10,1.0,2.4887235164642334,2.4887235164642334,0.8019805550575256,1.1194705008551373
0.0,3.5532991886138916,1.3446881771087646,9.033612191622353e-10,10.0,2.4887235164642334,2.4887235164642334,0.8019805550575256,1.0102607651011288
0.0,3.5532991886138916,1.3446881771087646,9.033612191622353e-10,30.0,2.4887235164642334,2.4887235164642334,0.8019805550575256,0.4269106023321401
0.0,3.5532991886138916,1.3446881771087646,9.033612191622353e-10,60.0,2.4887235164642334,2.4887235164642334,0.8019805550575256,0.019436940584302058
0.0,3.5532991886138916,1.3446881771087646,9.033612191622353e-10,90.0,2.4887235164642334,2.4887235164642334,0.8019805550575256,0.009868260850024067
0.0,3.5532991886138916,1.3446881771087646,9.033612191622353e-10,120.0,2.4887235164642334,2.4887235164642334,0.8019805550575256,0.004630458773885697
0.0,3.5532991886138916,1.3446881771087646,9.033612191622353e-10,150.0,2.4887235164642334,2.4887235164642334,0.8019805550575256,0.007681809058914194
0.0,3.5532991886138916,1.3446881771087646,9.033612191622353e-10,170.0,2.4887235164642334,2.4887235164642334,0.8019805550575256,0.013935821296177538
0.0,3.5532991886138916,1.3446881771087646,9.033612191622353e-10,179.0,2.4887235164642334,2.4887235164642334,0.8019805550575256,0.015189460273238788
0.0,3.5532991886138916,1.3446881771087646,9.033612191622353e-10,179.9,2.4887235164642334,2.4887235164642334,0.8019805550575256,0.015202693844972234
0.0,3.5532991886138916,1.3446881771087646,9.033612191622353e-10,180.0,2.4887235164642334,2.4887235164642334,0.8019805550575256,0.01520282738847904
1.0,7.106598377227783,1.3446881771087646,9.033612191622353e-10,0.0,3.6581530570983887,3.6581530570983887,0.8116857409477234,3.7196371279525975
