id,nstr,L_over_E_sr1,rho_f,BRF,R,T_down,atmospheric_absorptance
0,32,0.016161218142119082,0.050771964188343392,0.33847976125562262,0.052497143459519308,0.94750285639011389,1.503668300983918e-10
0,68,0.016152104781899025,0.050743333722826543,0.33828889148551028,0.052507073911154056,0.94749292601611568,7.2730266253984155e-11
1,32,0.001448846771009357,0.0045516863719802896,0.030344575813201932,0.052497143459519308,0.94750285639011389,1.503668300983918e-10
1,68,0.0014482298320928908,0.0045497482012126049,0.030331654674750699,0.052507073911154056,0.94749292601611568,7.2730266253984155e-11
2,32,0.001410167192338213,0.0044301708917830751,0.029534472611887169,0.052497143459519308,0.94750285639011389,1.503668300983918e-10
2,68,0.0014096596237688167,0.0044285763180942662,0.029523842120628443,0.052507073911154056,0.94749292601611568,7.2730266253984155e-11
3,32,0.0018031311784833686,0.0056647036637820572,0.037764691091880381,0.052497143459519308,0.94750285639011389,1.503668300983918e-10
3,68,0.0018032087602671554,0.0056649473941440534,0.037766315960960355,0.052507073911154056,0.94749292601611568,7.2730266253984155e-11
4,32,0.00069479113699447072,0.0021827507317611289,0.014551671545074193,0.052497143459519308,0.94750285639011389,1.503668300983918e-10
4,68,0.00069454892471308119,0.0021819897994373063,0.014546598662915376,0.052507073911154056,0.94749292601611568,7.2730266253984155e-11
5,32,0.00066386956883109397,0.0020856077603815882,0.013904051735877256,0.052497143459519308,0.94750285639011389,1.503668300983918e-10
5,68,0.00066377524843734689,0.0020853114441255088,0.013902076294170059,0.052507073911154056,0.94749292601611568,7.2730266253984155e-11
6,32,0.00047421241295424817,0.0014897822327781553,0.0099318815518543695,0.052497143459519308,0.94750285639011389,1.503668300983918e-10
6,68,0.0004742784695215537,0.0014899897556047237,0.0099332650373648249,0.052507073911154056,0.94749292601611568,7.2730266253984155e-11
7,32,0.00047421241295424817,0.0014897822327781553,0.0099318815518543695,0.052497143459519308,0.94750285639011389,1.503668300983918e-10
7,68,0.0004742784695215537,0.0014899897556047237,0.0099332650373648249,0.052507073911154056,0.94749292601611568,7.2730266253984155e-11
8,32,0.00047421241295424817,0.0014897822327781553,0.0099318815518543695,0.052497143459519308,0.94750285639011389,1.503668300983918e-10
8,68,0.0004742784695215537,0.0014899897556047237,0.0099332650373648249,0.052507073911154056,0.94749292601611568,7.2730266253984155e-11
9,32,0.0083846348363401674,0.026341107204879328,0.08780369068293109,0.017990053379575256,0.98200994652711748,9.3307250814689269e-11
9,68,0.0083806385315513734,0.026328552443113346,0.087761841477044494,0.017989079288604947,0.9820109208358424,-1.2444734132088797e-10
10,32,0.0014144219805218797,0.004443537703083463,0.014811792343611544,0.017990053379575256,0.98200994652711748,9.3307250814689269e-11
10,68,0.0014140727035705867,0.0044424404171792128,0.014808134723930709,0.017989079288604947,0.9820109208358424,-1.2444734132088797e-10
11,32,0.0014216201383740021,0.0044661513829110698,0.014887171276370233,0.017990053379575256,0.98200994652711748,9.3307250814689269e-11
11,68,0.001421283334169114,0.0044650932812952959,0.01488364427098432,0.017989079288604947,0.9820109208358424,-1.2444734132088797e-10
12,32,0.0013081584095259162,0.0041097008490983264,0.013699002830327755,0.017990053379575256,0.98200994652711748,9.3307250814689269e-11
12,68,0.0013081143257591341,0.0041095623558604607,0.013698541186201537,0.017989079288604947,0.9820109208358424,-1.2444734132088797e-10
13,32,0.00066982875536910594,0.0021043290970307778,0.0070144303234359259,0.017990053379575256,0.98200994652711748,9.3307250814689269e-11
13,68,0.00066970651357653032,0.0021039450631132606,0.0070131502103775358,0.017989079288604947,0.9820109208358424,-1.2444734132088797e-10
14,32,0.00067848711410705732,0.0021315301332340709,0.0071051004441135702,0.017990053379575256,0.98200994652711748,9.3307250814689269e-11
14,68,0.00067842870328057756,0.0021313466302107118,0.0071044887673690398,0.017989079288604947,0.9820109208358424,-1.2444734132088797e-10
15,32,0.00045584315665968321,0.0014320735121512421,0.0047735783738374737,0.017990053379575256,0.98200994652711748,9.3307250814689269e-11
15,68,0.00045588274237579491,0.0014321978743461656,0.0047739929144872189,0.017989079288604947,0.9820109208358424,-1.2444734132088797e-10
16,32,0.00045584315665968321,0.0014320735121512421,0.0047735783738374737,0.017990053379575256,0.98200994652711748,9.3307250814689269e-11
16,68,0.00045588274237579491,0.0014321978743461656,0.0047739929144872189,0.017989079288604947,0.9820109208358424,-1.2444734132088797e-10
17,32,0.00045584315665968321,0.0014320735121512421,0.0047735783738374737,0.017990053379575256,0.98200994652711748,9.3307250814689269e-11
17,68,0.00045588274237579491,0.0014321978743461656,0.0047739929144872189,0.017989079288604947,0.9820109208358424,-1.2444734132088797e-10
18,32,0.0052951951680523775,0.01663534623927752,0.03936258260766843,0.010274189971066128,0.98972581005791993,-2.8986035793820975e-11
18,68,0.0052947210162889585,0.016633856647580877,0.03935905793343758,0.010272947794804465,0.98972705215898993,4.6205594905757152e-11
19,32,0.00137853406622687,0.0043307924951815997,0.010247528058403661,0.010274189971066128,0.98972581005791993,-2.8986035793820975e-11
19,68,0.0013783578209918507,0.0043302388044460334,0.010246217914508587,0.010272947794804465,0.98972705215898993,4.6205594905757152e-11
20,32,0.0014104613560099938,0.0044310950342132949,0.010484864085054673,0.010274189971066128,0.98972581005791993,-2.8986035793820975e-11
20,68,0.0014103374002844323,0.0044307056158165003,0.010483942642627669,0.010272947794804465,0.98972705215898993,4.6205594905757152e-11
21,32,0.001045237844193957,0.003283711532573768,0.0077699234269921671,0.010274189971066128,0.98972581005791993,-2.8986035793820975e-11
21,68,0.001045276908300533,0.0032838342560840062,0.0077702138155563826,0.010272947794804465,0.98972705215898993,4.6205594905757152e-11
22,32,0.00065065999176754151,0.0020441086501217036,0.0048367731240536917,0.010274189971066128,0.98972581005791993,-2.8986035793820975e-11
22,68,0.00065062461984921203,0.0020439975259629365,0.0048365101818932908,0.010272947794804465,0.98972705215898993,4.6205594905757152e-11
23,32,0.00068396444652539035,0.0021487376805207751,0.0050843465014276858,0.010274189971066128,0.98972581005791993,-2.8986035793820975e-11
23,68,0.00068396129824297401,0.0021487277898998647,0.0050843230982248293,0.010272947794804465,0.98972705215898993,4.6205594905757152e-11
24,32,0.00044530326328894357,0.0013989614605681064,0.0033102248227655849,0.010274189971066128,0.98972581005791993,-2.8986035793820975e-11
24,68,0.00044535020202633973,0.0013991089229606791,0.0033105737485123457,0.010272947794804465,0.98972705215898993,4.6205594905757152e-11
25,32,0.00044530326328894357,0.0013989614605681064,0.0033102248227655849,0.010274189971066128,0.98972581005791993,-2.8986035793820975e-11
25,68,0.00044535020202633973,0.0013991089229606791,0.0033105737485123457,0.010272947794804465,0.98972705215898993,4.6205594905757152e-11
26,32,0.00044530326328894357,0.0013989614605681064,0.0033102248227655849,0.010274189971066128,0.98972581005791993,-2.8986035793820975e-11
26,68,0.00044535020202633973,0.0013991089229606791,0.0033105737485123457,0.010272947794804465,0.98972705215898993,4.6205594905757152e-11
27,32,0.0026887525185647675,0.0084469651596441268,0.012995331014837118,0.0052009766524876251,0.99479902357839534,-2.3088297940176972e-10
27,68,0.0026879575016108279,0.0084444675402221506,0.012991488523418693,0.0052012185152390637,0.99479878120595966,2.788013153676161e-10
28,32,0.0013303150053562375,0.004179307847787422,0.006429704381211418,0.0052009766524876251,0.99479902357839534,-2.3088297940176972e-10
28,68,0.0013301513745656256,0.0041787937864977342,0.006428913517688822,0.0052012185152390637,0.99479878120595966,2.788013153676161e-10
29,32,0.0013734877478412265,0.0043149390184135878,0.0066383677206362885,0.0052009766524876251,0.99479902357839534,-2.3088297940176972e-10
29,68,0.0013732928539050531,0.0043143267410554759,0.0066374257554699624,0.0052012185152390637,0.99479878120595966,2.788013153676161e-10
30,32,0.0007696764288331868,0.0024180098144635669,0.003720015099174718,0.0052009766524876251,0.99479902357839534,-2.3088297940176972e-10
30,68,0.00076963858995001972,0.0024178909401061893,0.0037198322155479833,0.0052012185152390637,0.99479878120595966,2.788013153676161e-10
31,32,0.00063298331609224693,0.001988575735680309,0.0030593472856620136,0.0052009766524876251,0.99479902357839534,-2.3088297940176972e-10
31,68,0.00063295063573622014,0.0019884730673138985,0.0030591893343290748,0.0052012185152390637,0.99479878120595966,2.788013153676161e-10
32,32,0.00069078545462170147,0.0021701665094462229,0.0033387177068403429,0.0052009766524876251,0.99479902357839534,-2.3088297940176972e-10
