id,x,n_real,n_imag,angle_deg,qext,qsca,g,phase_sr1
0,3.5532991886138916,1.3446881771087646,9.033612191622353e-10,0.0,2.4887233039749193,2.488723290548414,0.8019806476741629,1.1206272925411414
0,3.5532991886138916,1.3446881771087646,9.033612191622353e-10,0.1,2.4887233039749193,2.488723290548414,0.8019806476741629,1.1206157200584301
0,3.5532991886138916,1.3446881771087646,9.033612191622353e-10,1.0,2.4887233039749193,2.488723290548414,0.8019806476741629,1.1194705904045306
0,3.5532991886138916,1.3446881771087646,9.033612191622353e-10,10.0,2.4887233039749193,2.488723290548414,0.8019806476741629,1.0102607993890853
0,3.5532991886138916,1.3446881771087646,9.033612191622353e-10,30.0,2.4887233039749193,2.488723290548414,0.8019806476741629,0.42691063535038554
0,3.5532991886138916,1.3446881771087646,9.033612191622353e-10,60.0,2.4887233039749193,2.488723290548414,0.8019806476741629,0.019436941447815544
0,3.5532991886138916,1.3446881771087646,9.033612191622353e-10,90.0,2.4887233039749193,2.488723290548414,0.8019806476741629,0.009868261625210801
0,3.5532991886138916,1.3446881771087646,9.033612191622353e-10,120.0,2.4887233039749193,2.488723290548414,0.8019806476741629,0.004630458698345148
0,3.5532991886138916,1.3446881771087646,9.033612191622353e-10,150.0,2.4887233039749193,2.488723290548414,0.8019806476741629,0.007681809050136421
0,3.5532991886138916,1.3446881771087646,9.033612191622353e-10,170.0,2.4887233039749193,2.488723290548414,0.8019806476741629,0.013935822401542081
0,3.5532991886138916,1.3446881771087646,9.033612191622353e-10,179.0,2.4887233039749193,2.488723290548414,0.8019806476741629,0.015189461460146908
0,3.5532991886138916,1.3446881771087646,9.033612191622353e-10,179.9,2.4887233039749193,2.488723290548414,0.8019806476741629,0.015202695798026725
0,3.5532991886138916,1.3446881771087646,9.033612191622353e-10,180.0,2.4887233039749193,2.488723290548414,0.8019806476741629,0.015202829550884978
1,7.106598377227783,1.3446881771087646,9.033612191622353e-10,0.0,3.65815326636005,3.6581532368206364,0.811685831975639,3.719637397662553
1,7.106598377227783,1.3446881771087646,9.033612191622353e-10,0.1,3.65815326636005,3.6581532368206364,0.811685831975639,3.7194655260281397
1,7.106598377227783,1.3446881771087646,9.033612191622353e-10,1.0,3.65815326636005,3.6581532368206364,0.811685831975639,3.702484392339776
1,7.106598377227783,1.3446881771087646,9.033612191622353e-10,10.0,3.65815326636005,3.6581532368206364,0.811685831975639,2.309779656936278
1,7.106598377227783,1.3446881771087646,9.033612191622353e-10,30.0,3.65815326636005,3.6581532368206364,0.811685831975639,0.13075981008678322
1,7.106598377227783,1.3446881771087646,9.033612191622353e-10,60.0,3.65815326636005,3.6581532368206364,0.811685831975639,0.026642755555035934
1,7.106598377227783,1.3446881771087646,9.033612191622353e-10,90.0,3.65815326636005,3.6581532368206364,0.811685831975639,0.006989823097159234
1,7.106598377227783,1.3446881771087646,9.033612191622353e-10,120.0,3.65815326636005,3.6581532368206364,0.811685831975639,0.008147277472375432
1,7.106598377227783,1.3446881771087646,9.033612191622353e-10,150.0,3.65815326636005,3.6581532368206364,0.811685831975639,0.0182111405116959
1,7.106598377227783,1.3446881771087646,9.033612191622353e-10,170.0,3.65815326636005,3.6581532368206364,0.811685831975639,0.005960037468430584
1,7.106598377227783,1.3446881771087646,9.033612191622353e-10,179.0,3.65815326636005,3.6581532368206364,0.811685831975639,0.006236236656457074
1,7.106598377227783,1.3446881771087646,9.033612191622353e-10,179.9,3.65815326636005,3.6581532368206364,0.811685831975639,0.006274183035120526
1,7.106598377227783,1.3446881771087646,9.033612191622353e-10,180.0,3.65815326636005,3.6581532368206364,0.811685831975639,0.006274570820132996
2,28.426393508911133,1.3446881771087646,9.033612191622353e-10,0.0,1.9623500650508143,1.9623499631588202,0.8057587467704275,32.43273109554387
2,28.426393508911133,1.3446881771087646,9.033612191622353e-10,0.1,1.9623500650508143,1.9623499631588202,0.8057587467704275,32.40870826832897
